split,method,frequency_iae,ace_iae,ibr_mileage_pu,sg_mileage_pu,scientific_success,wall_p99_s
final_known,O2_current_capability_nmpc,146.83361375368332,102.0402574940963,2.0187766963678184,1.1865702858872,0.7,0.06612063305009602
final_known,fixed_allocation,78.02446252640706,53.247808221839485,0.1414999086720498,0.49291189045612144,0.8833333333333333,8.835450767946889e-06
final_known,nominal_mpc,78.02446252640706,53.247808221839485,0.1414999086720498,0.49291189045612144,0.8833333333333333,8.004350973351392e-06
final_known,proposed_set_adaptive_mpc,3.391659533928903,1.6261777091993614,0.06146059314251584,0.4671969933557834,1.0,0.00022711845020967296
final_known,rls_adaptive_mpc,76.83703376553626,52.43447349377095,0.14482072032443102,0.4479551524852774,0.8833333333333333,3.379161757523737e-05
final_known,robust_capability_set_mpc,3.2945955450982725,1.2232357648794505,0.04806150893463739,0.5062902688493672,1.0,3.384585024711364e-05
final_known,sg_only_pi,9.745932848209959,5.856377366108365,0.03779575328216869,0.2697783292649952,1.0,3.557555010290038e-05
final_ood,O2_current_capability_nmpc,72.0167972400396,47.665371690463,0.90659317174086,1.6050294711239033,0.66,0.08656855962995615
final_ood,fixed_allocation,38.45231931166664,23.008846160990757,0.2855232808100067,0.823738866575532,0.79,7.835910819994749e-06
final_ood,nominal_mpc,38.45231931166664,23.008846160990757,0.2855232808100067,0.823738866575532,0.79,7.852820047992279e-06
final_ood,proposed_set_adaptive_mpc,3.421839643440848,1.658831649457957,0.06781386119902018,0.43539015788888813,1.0,0.00021079061977361555
final_ood,rls_adaptive_mpc,36.34259376400607,21.67762353398491,0.2625097003755845,0.8388482852893137,0.79,3.760659939725882e-05
final_ood,robust_capability_set_mpc,2.49179786217554,0.7495463902174582,0.05430500863227574,0.3410347400906617,1.0,3.7277610582532345e-05
final_ood,sg_only_pi,9.720511393480688,5.907631655993108,0.04187859766655223,0.24863653216447065,1.0,3.5268549264583254e-05
